Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,MvcMovie\MvcMovie.csproj,File,MvcMovie\MvcMovie.csproj,,,Microsoft.EntityFrameworkCore.Design 6.0.0-rtm.21467.1,,,,,"Microsoft.EntityFrameworkCore.Design, 6.0.0-rtm.21467.1  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,MvcMovie\MvcMovie.csproj,File,MvcMovie\MvcMovie.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 6.0.0-rc.1.21452.10,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 6.0.0-rc.1.21452.10  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,MvcMovie\MvcMovie.csproj,File,MvcMovie\MvcMovie.csproj,,,Microsoft.EntityFrameworkCore.Tools 6.0.0-rc.1.21452.10,,,,,"Microsoft.EntityFrameworkCore.Tools, 6.0.0-rc.1.21452.10  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,MvcMovie\MvcMovie.csproj,File,MvcMovie\MvcMovie.csproj,,,Microsoft.VisualStudio.Web.CodeGeneration.Design 6.0.0-rc.1.21464.1,,,,,"Microsoft.VisualStudio.Web.CodeGeneration.Design, 6.0.0-rc.1.21464.1  Recommendation:  Remove Microsoft.VisualStudio.Web.CodeGeneration.Design, and replace with new package Microsoft.VisualStudio.Web.CodeGeneration.Design 10.0.2"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,MvcMovie\MvcMovie.csproj,File,MvcMovie\MvcMovie.csproj,,,Microsoft.Data.SqlClient 4.0.5,,,,,"Microsoft.Data.SqlClient, 4.0.5  Recommendation:  This version is out of support. Remove Microsoft.Data.SqlClient, and replace with new package Microsoft.Data.SqlClient, 6.1.4"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,MvcMovie\MvcMovie.csproj,File,MvcMovie\MvcMovie.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,MvcMovie\MvcMovie.csproj,File,MvcMovie\Program.cs,25,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Home/Error"");"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,MvcMovie.Tests\MvcMovie.Tests.csproj,File,MvcMovie.Tests\MvcMovie.Tests.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,RazorMovie\RazorMovie.csproj,File,RazorMovie\RazorMovie.csproj,,,HtmlSanitizer 7.1.542,,,,,"HtmlSanitizer, 7.1.542  Recommendation:  HtmlSanitizer, 9.0.889"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,RazorMovie\RazorMovie.csproj,File,RazorMovie\RazorMovie.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,RazorMovie\RazorMovie.csproj,File,RazorMovie\Program.cs,43,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Error"");"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,RazorMovie.Tests\RazorMovie.Tests.csproj,File,RazorMovie.Tests\RazorMovie.Tests.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,WpfMovie\WpfMovie.csproj,File,WpfMovie\WpfMovie.csproj,,,Newtonsoft.Json 13.0.3,,,,,"Newtonsoft.Json, 13.0.3  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,WpfMovie\WpfMovie.csproj,File,WpfMovie\WpfMovie.csproj,,,,,,,,Current target framework: net6.0-windows Recommended target framework: net10.0-windows
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,WpfMovie\WpfMovie.csproj,File,WpfMovie\Services\MovieStateManager.cs,38,12,T:System.Runtime.Serialization.Formatters.Binary.BinaryFormatter,,,,,var formatter = new BinaryFormatter();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,WpfMovie\WpfMovie.csproj,File,WpfMovie\Services\MovieStateManager.cs,20,12,T:System.Runtime.Serialization.Formatters.Binary.BinaryFormatter,,,,,var formatter = new BinaryFormatter();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,WpfMovie\WpfMovie.csproj,File,WpfMovie\obj\Debug\net6.0-windows\App.g.i.cs,66,12,M:System.Windows.Application.Run,,,,,app.Run();
